V(V)	J(mA/cm2)
-0.1	24.77692
-0.08915	24.76
-0.07835	24.76581
-0.0675	24.75658
-0.05665	24.76803
-0.04585	24.76564
-0.035	24.75966
-0.02415	24.76581
-0.01335	24.75402
-0.0025	24.74769
0.00835	24.74889
0.01915	24.73983
0.03	24.7388
0.04085	24.75453
0.05165	24.76684
0.0625	24.76444
0.07335	24.76171
0.08415	24.76205
0.095	24.75487
0.10585	24.73709
0.11665	24.74103
0.1275	24.73556
0.13835	24.74786
0.14915	24.7494
0.16	24.75145
0.17085	24.74769
0.18165	24.74017
0.1925	24.71419
0.20335	24.71094
0.21415	24.71265
0.225	24.7212
0.23585	24.72188
0.24665	24.71419
0.2575	24.7094
0.26835	24.68855
0.27915	24.6853
0.29	24.67829
0.30085	24.67915
0.31165	24.65111
0.3225	24.64581
0.33335	24.6453
0.34415	24.64872
0.355	24.64906
0.36585	24.65932
0.37665	24.6453
0.3875	24.6465
0.39835	24.63658
0.40915	24.6441
0.42	24.65897
0.43085	24.6653
0.44165	24.65453
0.4525	24.64564
0.46335	24.64598
0.47415	24.64889
0.485	24.65744
0.49585	24.66
0.50665	24.6494
0.5175	24.66513
0.52835	24.66462
0.53915	24.67829
0.55	24.68017
0.56085	24.67419
0.57165	24.67521
0.5825	24.67145
0.59335	24.68718
0.60415	24.67812
0.615	24.66838
0.62585	24.67145
0.63665	24.65436
0.6475	24.65932
0.65835	24.64872
0.66915	24.63846
0.68	24.63368
0.69085	24.62991
0.70165	24.61983
0.7125	24.60564
0.72335	24.60154
0.73415	24.59231
0.745	24.5853
0.75585	24.56632
0.76665	24.57316
0.7775	24.56462
0.78835	24.55538
0.79915	24.54923
0.81	24.55265
0.82085	24.56017
0.83165	24.52444
0.8425	24.50239
0.85335	24.50034
0.86415	24.49726
0.875	24.45949
0.88585	24.42735
0.89665	24.38154
0.9075	24.32786
0.91835	24.27761
0.92915	24.2241
0.94	24.12684
0.95085	24.0253
0.96165	23.86803
0.9725	23.65538
0.98335	23.36034
0.99415	23.00205
1.005	22.53043
1.01585	21.90171
1.02665	21.08855
1.0375	19.99162
1.04835	18.47009
1.05915	16.87063
1.07	14.48379
1.08085	11.36188
1.09165	7.38552
1.1025	2.30634
1.11335	-3.99538
