V(V)	J(mA/cm2)
-0.1	24.77866
-0.08915	24.77709
-0.07835	24.75449
-0.0675	24.73049
-0.05665	24.73399
-0.04585	24.73417
-0.035	24.73767
-0.02415	24.7389
-0.01335	24.73872
-0.0025	24.74678
0.00835	24.75922
0.01915	24.7438
0.03	24.76114
0.04085	24.76325
0.05165	24.77673
0.0625	24.77989
0.07335	24.77971
0.08415	24.7883
0.095	24.79933
0.10585	24.82035
0.11665	24.81843
0.1275	24.85259
0.13835	24.87133
0.14915	24.86835
0.16	24.8624
0.17085	24.87221
0.18165	24.87378
0.1925	24.86362
0.20335	24.8673
0.21415	24.84278
0.225	24.83647
0.23585	24.82281
0.24665	24.82859
0.2575	24.82806
0.26835	24.82631
0.27915	24.82298
0.29	24.81703
0.30085	24.83997
0.31165	24.82561
0.3225	24.82806
0.33335	24.82351
0.34415	24.83454
0.355	24.83279
0.36585	24.82859
0.37665	24.8193
0.3875	24.82246
0.39835	24.82053
0.40915	24.83051
0.42	24.83927
0.43085	24.84295
0.44165	24.82876
0.4525	24.85907
0.46335	24.85977
0.47415	24.85276
0.485	24.85154
0.49585	24.85171
0.50665	24.85381
0.5175	24.83332
0.52835	24.80984
0.53915	24.80616
0.55	24.79408
0.56085	24.78742
0.57165	24.76815
0.5825	24.75501
0.59335	24.72138
0.60415	24.7142
0.615	24.70176
0.62585	24.70071
0.63665	24.67653
0.6475	24.67636
0.65835	24.66515
0.66915	24.65534
0.68	24.65867
0.69085	24.66024
0.70165	24.66164
0.7125	24.64535
0.72335	24.6394
0.73415	24.63239
0.745	24.6224
0.75585	24.61364
0.76665	24.61487
0.7775	24.6161
0.78835	24.61575
0.79915	24.61452
0.81	24.61364
0.82085	24.61172
0.83165	24.62731
0.8425	24.61032
0.85335	24.59543
0.86415	24.58527
0.875	24.56705
0.88585	24.54918
0.89665	24.51414
0.9075	24.47806
0.91835	24.42218
0.92915	24.35386
0.94	24.26452
0.95085	24.13734
0.96165	23.98686
0.9725	23.77419
0.98335	23.50197
0.99415	23.14548
1.005	22.67723
1.01585	22.0487
1.02665	21.21275
1.0375	20.11246
1.04835	18.63064
1.05915	17.02493
1.07	14.67519
1.08085	11.63845
1.09165	7.7667
1.1025	2.82015
1.11335	-3.3393
